# Evoluation started on 2019/07/20 21:41:18
# Generation	   Best 	   Average 	   Worst
	221		   2.033	   1.649	   0.382
	222		   2.028	   1.605	   0.240
	223		   2.031	   1.664	   0.876
	224		   2.039	   1.766	   0.933
	225		   2.013	   1.665	   0.755
	226		   2.023	   1.632	   0.460
	227		   2.033	   1.610	   0.249
	228		   2.038	   1.696	   0.935
	229		   2.037	   1.728	   0.935
	230		   2.039	   1.656	   0.920
	231		   2.033	   1.683	   0.629
	232		   2.029	   1.590	   0.270
	233		   2.040	   1.595	   0.890
	234		   2.036	   1.626	   0.847
	235		   2.040	   1.641	   0.796
	236		   2.025	   1.633	   0.881
	237		   2.029	   1.655	   0.875
	238		   2.034	   1.719	   0.758
	239		   2.027	   1.675	   0.942
	240		   2.035	   1.604	   0.865
	241		   2.029	   1.652	   0.900
	242		   2.043	   1.650	   0.893
	243		   2.015	   1.582	   0.622
	244		   2.027	   1.646	   0.745
	245		   2.035	   1.624	   0.934
	246		   2.034	   1.642	   0.905
	247		   2.038	   1.660	   0.711
	248		   2.039	   1.593	   0.545
	249		   2.034	   1.642	   0.894
	250		   2.034	   1.639	   0.612
	251		   2.031	   1.646	   0.371
	252		   2.048	   1.710	   0.716
	253		   2.037	   1.644	   0.822
	254		   2.036	   1.696	   0.780
	255		   2.024	   1.606	   0.399
	256		   2.032	   1.665	   0.855
	257		   2.040	   1.699	   0.867
	258		   2.039	   1.632	   0.553
	259		   2.044	   1.683	   0.898
	260		   2.046	   1.657	   0.708
	261		   2.036	   1.606	   0.539
	262		   2.031	   1.613	   0.573
	263		   2.035	   1.582	   0.525
	264		   2.013	   1.656	   0.832
	265		   2.034	   1.679	   0.873
	266		   2.036	   1.770	   0.881
	267		   2.029	   1.657	   0.932
	268		   2.028	   1.726	   0.899
	269		   2.021	   1.619	   0.884
	270		   2.031	   1.753	   0.521
	271		   2.035	   1.724	   0.844
	272		   2.036	   1.638	   0.576
	273		   2.032	   1.695	   0.844
	274		   2.024	   1.641	   0.787
	275		   2.031	   1.699	   0.904
	276		   2.034	   1.744	   0.898
	277		   2.034	   1.685	   0.900
	278		   2.031	   1.677	   0.870
	279		   2.038	   1.700	   0.929
	280		   2.030	   1.617	   0.916
	281		   2.035	   1.706	   0.919
	282		   2.033	   1.702	   0.894
	283		   2.038	   1.698	   0.895
	284		   2.032	   1.697	   0.895
	285		   2.030	   1.685	   0.570
	286		   2.029	   1.727	   0.521
	287		   2.026	   1.656	   0.875
	288		   2.024	   1.662	   0.874
	289		   2.024	   1.724	   0.873
	290		   2.030	   1.701	   0.900
	291		   2.040	   1.676	   0.885
	292		   2.001	   1.651	   0.878
	293		   2.035	   1.774	   0.906
	294		   2.032	   1.743	   0.860
	295		   2.023	   1.706	   0.887
	296		   2.033	   1.702	   0.859
	297		   2.023	   1.716	   0.915
	298		   2.040	   1.754	   0.927
	299		   2.034	   1.672	   0.866
	300		   2.030	   1.682	   0.849
	301		   2.039	   1.675	   0.849
	302		   2.034	   1.615	   0.892
	303		   2.039	   1.677	   0.914
	304		   2.032	   1.700	   0.816
	305		   2.035	   1.714	   0.902
	306		   2.039	   1.683	   0.880
	307		   2.031	   1.635	   0.859
	308		   2.038	   1.677	   0.899
	309		   2.025	   1.634	   0.771
	310		   2.033	   1.694	   0.807
	311		   2.034	   1.734	   0.835
	312		   2.036	   1.659	   0.863
	313		   2.033	   1.745	   0.937
	314		   2.014	   1.644	   0.634
	315		   2.036	   1.694	   0.921
	316		   2.039	   1.684	   0.982
	317		   2.032	   1.652	   0.900
	318		   2.035	   1.669	   0.807
	319		   2.037	   1.708	   0.987
	320		   2.038	   1.647	   0.958
	321		   2.045	   1.691	   0.944
	322		   2.035	   1.595	   0.959
	323		   2.026	   1.635	   0.864
	324		   2.029	   1.661	   0.930
	325		   2.032	   1.693	   0.980
	326		   2.022	   1.582	   0.538
	327		   2.033	   1.787	   0.855
	328		   2.037	   1.781	   0.962
	329		   2.036	   1.737	   0.452
	330		   2.048	   1.725	   0.529
	331		   2.024	   1.717	   0.871
	332		   2.037	   1.671	   0.774
	333		   2.034	   1.601	   0.881
	334		   2.021	   1.731	   0.962
	335		   2.035	   1.784	   0.882
	336		   2.028	   1.754	   0.987
	337		   2.038	   1.780	   0.698
	338		   2.033	   1.763	   0.938
	339		   2.034	   1.691	   0.897
	340		   2.028	   1.756	   0.836
	341		   2.029	   1.724	   0.855
	342		   2.028	   1.722	   0.891
	343		   2.041	   1.691	   0.830
	344		   2.032	   1.765	   0.903
	345		   2.034	   1.765	   0.867
	346		   2.036	   1.739	   0.928
	347		   2.038	   1.687	   0.879
	348		   2.032	   1.678	   0.853
	349		   2.041	   1.702	   0.823
	350		   2.048	   1.738	   0.913
	351		   2.046	   1.692	   0.934
	352		   2.037	   1.625	   0.894
	353		   2.043	   1.647	   0.885
	354		   2.036	   1.704	   0.853
	355		   2.038	   1.722	   0.914
	356		   2.037	   1.670	   0.930
	357		   2.039	   1.704	   0.890
	358		   2.043	   1.738	   0.958
	359		   2.040	   1.647	   0.841
	360		   2.036	   1.693	   0.967
	361		   2.018	   1.612	   0.919
	362		   2.058	   1.642	   0.931
	363		   2.042	   1.687	   0.915
	364		   2.043	   1.710	   0.908
	365		   2.038	   1.803	   0.966
	366		   2.044	   1.668	   0.937
	367		   2.041	   1.646	   0.926
	368		   2.036	   1.704	   0.939
	369		   2.045	   1.697	   0.924
	370		   2.040	   1.694	   0.876
	371		   2.043	   1.712	   0.776
	372		   2.046	   1.704	   0.952
	373		   2.045	   1.724	   0.926
	374		   2.027	   1.680	   0.868
	375		   2.038	   1.645	   0.887
	376		   2.044	   1.623	   0.825
	377		   2.034	   1.638	   0.859
	378		   2.033	   1.690	   0.985
	379		   2.038	   1.779	   0.829
	380		   2.036	   1.847	   0.974
	381		   2.042	   1.751	   0.747
	382		   2.046	   1.690	   0.802
	383		   2.039	   1.664	   0.865
	384		   2.036	   1.676	   0.863
	385		   2.048	   1.725	   0.813
	386		   2.040	   1.771	   0.926
	387		   2.047	   1.788	   0.898
	388		   2.038	   1.764	   0.867
	389		   2.031	   1.732	   0.898
	390		   2.024	   1.693	   0.775
	391		   2.034	   1.740	   0.847
	392		   2.043	   1.798	   0.863
	393		   2.033	   1.724	   0.923
	394		   2.040	   1.708	   0.904
	395		   2.043	   1.730	   0.892
	396		   2.033	   1.733	   1.006
	397		   2.036	   1.764	   0.791
	398		   2.026	   1.723	   0.730
	399		   2.047	   1.717	   0.904
	400		   2.035	   1.750	   0.973
	401		   2.032	   1.653	   0.807
	402		   2.039	   1.747	   0.700
	403		   2.031	   1.606	   0.902
	404		   2.040	   1.747	   0.953
	405		   2.039	   1.732	   0.856
	406		   2.041	   1.733	   0.888
	407		   2.041	   1.767	   0.900
	408		   2.042	   1.731	   0.840
	409		   2.043	   1.724	   0.718
	410		   2.035	   1.738	   0.897
	411		   2.033	   1.667	   0.849
	412		   2.043	   1.699	   0.903
	413		   2.031	   1.684	   0.882
	414		   2.035	   1.691	   0.815
	415		   2.037	   1.707	   0.878
	416		   2.033	   1.649	   0.814
	417		   2.044	   1.689	   0.875
	418		   2.032	   1.782	   0.777
	419		   2.038	   1.746	   0.880
	420		   2.030	   1.774	   0.853
	421		   2.030	   1.678	   0.868
	422		   2.034	   1.766	   0.833
	423		   2.041	   1.815	   0.868
	424		   2.039	   1.761	   0.866
	425		   2.038	   1.753	   0.858
	426		   2.017	   1.720	   0.812
	427		   2.035	   1.753	   0.824
	428		   2.038	   1.758	   0.864
	429		   2.033	   1.701	   0.868
	430		   2.031	   1.738	   0.881
	431		   2.039	   1.714	   0.933
	432		   2.042	   1.735	   0.830
	433		   2.032	   1.728	   0.886
	434		   2.037	   1.734	   0.761
	435		   2.039	   1.671	   0.833
	436		   2.041	   1.708	   0.927
	437		   2.031	   1.714	   0.851
	438		   2.034	   1.759	   0.872
	439		   2.030	   1.763	   0.900
	440		   2.042	   1.697	   0.848
	441		   2.038	   1.732	   0.812
	442		   2.042	   1.717	   0.973
	443		   2.049	   1.847	   0.904
	444		   2.047	   1.833	   0.830
	445		   2.038	   1.824	   0.950
	446		   2.033	   1.731	   0.920
	447		   2.050	   1.768	   0.904
	448		   2.061	   1.768	   0.933
	449		   2.040	   1.767	   0.878
	450		   2.052	   1.766	   0.950
	451		   2.048	   1.754	   0.847
	452		   2.062	   1.761	   0.793
	453		   2.044	   1.791	   0.881
	454		   2.025	   1.674	   0.819
	455		   2.052	   1.801	   0.912
	456		   2.050	   1.779	   0.594
	457		   2.062	   1.825	   0.887
	458		   2.030	   1.819	   0.969
	459		   2.032	   1.725	   0.883
	460		   2.039	   1.768	   0.877
	461		   2.034	   1.822	   0.871
	462		   2.042	   1.764	   0.886
	463		   2.037	   1.739	   0.873
	464		   2.049	   1.834	   0.923
	465		   2.036	   1.786	   0.863
	466		   2.041	   1.801	   0.958
	467		   2.065	   1.742	   0.732
	468		   2.050	   1.742	   0.785
	469		   2.060	   1.730	   0.868
	470		   2.063	   1.780	   0.988
	471		   2.036	   1.689	   0.922
	472		   2.042	   1.707	   0.838
	473		   2.022	   1.720	   0.855
	474		   2.032	   1.652	   0.871
	475		   2.041	   1.692	   0.848
	476		   2.021	   1.724	   0.821
	477		   2.021	   1.609	   0.431
	478		   2.038	   1.647	   0.852
	479		   2.037	   1.781	   0.868
	480		   2.040	   1.715	   0.940
	481		   2.041	   1.863	   1.084
	482		   2.042	   1.825	   0.873
	483		   2.052	   1.719	   0.820
	484		   2.037	   1.813	   0.880
	485		   2.047	   1.815	   0.914
	486		   2.028	   1.746	   0.930
	487		   2.039	   1.807	   0.898
	488		   2.037	   1.791	   0.889
	489		   2.039	   1.743	   0.849
	490		   2.042	   1.738	   0.973
	491		   2.055	   1.795	   0.957
	492		   2.031	   1.776	   0.951
	493		   2.029	   1.788	   0.938
	494		   2.041	   1.820	   1.000
	495		   2.038	   1.787	   0.787
	496		   2.037	   1.700	   0.916
	497		   2.036	   1.731	   0.948
	498		   2.034	   1.743	   0.920
	499		   2.050	   1.823	   0.825
	500		   2.051	   1.861	   0.884
	501		   2.054	   1.800	   0.832
	502		   2.028	   1.807	   0.978
	503		   2.056	   1.798	   0.968
	504		   2.045	   1.755	   0.952
	505		   2.055	   1.771	   0.973
	506		   2.056	   1.751	   0.827
	507		   2.049	   1.770	   0.805
	508		   2.053	   1.739	   0.870
	509		   2.050	   1.699	   0.820
	510		   2.063	   1.820	   0.971
	511		   2.035	   1.722	   0.852
	512		   2.041	   1.735	   0.749
	513		   2.059	   1.772	   0.916
	514		   2.035	   1.781	   0.827
	515		   2.060	   1.807	   0.955
	516		   2.050	   1.789	   0.947
	517		   2.059	   1.809	   0.918
	518		   2.062	   1.747	   0.951
	519		   2.060	   1.749	   0.937
	520		   2.059	   1.775	   0.901
	521		   2.055	   1.711	   0.960
	522		   2.051	   1.779	   0.950
	523		   2.076	   1.799	   0.859
	524		   2.061	   1.739	   0.827
	525		   2.072	   1.759	   0.916
	526		   2.077	   1.761	   0.895
	527		   2.078	   1.779	   0.920
	528		   2.065	   1.738	   0.888
	529		   1.979	   1.706	   0.923
	530		   2.051	   1.721	   0.862
	531		   2.059	   1.740	   0.679
	532		   2.054	   1.718	   0.951
	533		   2.054	   1.676	   0.893
	534		   2.067	   1.810	   0.771
	535		   2.073	   1.750	   0.773
	536		   2.065	   1.729	   0.833
	537		   2.054	   1.785	   0.874
	538		   2.063	   1.752	   0.894
	539		   2.055	   1.790	   0.835
	540		   2.054	   1.736	   0.859
	541		   2.055	   1.776	   0.827
	542		   2.061	   1.788	   0.776
	543		   2.052	   1.822	   1.040
	544		   2.074	   1.816	   0.874
	545		   2.042	   1.802	   0.974
	546		   2.051	   1.783	   0.911
	547		   2.052	   1.702	   0.914
	548		   2.052	   1.771	   0.825
	549		   2.063	   1.707	   0.950
	550		   2.064	   1.780	   0.976
	551		   2.045	   1.777	   0.927
	552		   2.048	   1.682	   0.827
	553		   2.044	   1.735	   0.685
	554		   2.062	   1.766	   0.904
	555		   2.051	   1.718	   0.753
	556		   2.079	   1.773	   0.968
	557		   2.083	   1.693	   1.016
